0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
-4.102691,-3.8485637,-1.8537962,-3.3258731,0.7219986,1.2055448,-1.8761158,-4.9782906,-0.93277955,-4.015327,5.2381077,-3.7300177,4.6060114,-2.2426267,-3.8775585,5.2817693,-2.1105325,2.6819878,0.84338933,-0.15694773,-0.17013346,0.6211052,2.2036986,-3.0963762,-5.2770605,-4.6089215,4.4021807,-1.8825793,1.2444835,8.764171,-0.58809847,-1.0738018,-0.8382534,0.6871741,-1.8779536,-0.5122937,2.8159797,2.0011508,-0.2444434,-0.07080938,-2.936101,9.70861,4.357128,-4.4858723,-0.3620057,-3.22227,-4.377852,-5.0109134,1.3934331,3.183209,3.1697595,-3.8386786,-2.6499772,-1.4742997,-2.2097666,-3.7702484,0.55918896,-1.233404,-0.33883741,-0.5351176,-0.24407257,-1.0911604,0.22578357,1.1660036,-1.0466871,4.019367,0.7288652,1.217142,-4.133856,-1.8934215,-1.543206,-3.2350316,-3.45597,3.0816524,-4.374118,-3.194163,-0.54458195,-2.0562804,-0.562215,-3.0106084,4.239804,-0.55454004,2.501485,-4.145789,1.2972639,-2.1748834,2.782656,-0.8938901,-1.4257644,6.7466607,4.5089474,-0.9111801,-2.6399949,3.4138994,-1.8432674,-5.1396565,1.1827806,-1.1706984,1.1516691,-1.7282233,0.9031498,0.8100188,0.3910541,-0.047488622,1.3605766,-0.77514493,3.4678445,0.053132553,-2.5575802,-1.6011264,4.1642823,4.506113,5.487042,-1.820542,1.1562083,3.2405427,-4.205771,3.7595491,2.174385,0.30270246,-2.0587184,-0.6706747,1.8269281,1.348401,1.2228626,2.2659624,-0.38672796,-0.8477724
-4.440735,-3.5891457,-2.4686227,-3.669717,0.65807956,0.02595227,-2.1530821,-4.224623,-1.1597025,-3.5280256,5.6802015,-2.6504169,5.4938107,-1.7437614,-4.0505047,5.352317,-1.875043,3.5452306,1.512896,0.20376085,0.20141365,0.2563076,2.534363,-2.4602587,-5.594517,-4.8868093,4.208647,-2.8741739,1.7385315,7.9689,-1.9787352,-0.78400093,-1.3077397,2.3763049,-1.1538442,0.27467865,2.0198536,2.523166,0.09637208,0.7532256,-4.0599055,8.364764,4.547384,-4.032489,-0.36940485,-2.8687747,-4.7803965,-4.9072466,1.9865723,2.0864253,3.8451717,-4.829122,-2.314849,-1.1386114,-2.839882,-4.159384,-0.28834358,-0.45431235,1.1100163,0.5731177,0.6968373,-0.7126025,0.4647193,0.8344366,-2.1422038,3.9198365,-0.8164191,1.6207324,-3.873315,-1.7697543,-1.3138912,-3.0731194,-3.6872466,2.052491,-4.626373,-1.8243825,-0.54061484,-2.281954,-1.0342599,-2.9197268,3.5232134,-1.9293201,2.586256,-3.3085597,0.16717158,-2.4070158,2.8015115,0.31300703,-2.2157912,6.4535193,5.720625,-0.94999164,-1.9376863,4.091248,0.07148369,-4.85414,-0.21107352,-0.24035251,2.2234755,-1.8573803,-0.17225102,1.04098,0.84516317,-1.0661856,0.82889247,-0.6585409,3.4311898,0.8670698,-2.114903,-2.0754197,3.5443609,3.5944407,6.212595,-1.0176145,0.8321238,3.6357012,-2.8498294,4.291104,2.2307181,0.045305643,-3.879449,-1.9878887,2.3883839,0.9344865,0.26655093,1.7632525,0.022670511,-0.5807915
-3.3587472,1.9883604,-1.6108747,2.5548975,-1.9357905,-3.2465456,0.34726664,-4.6610436,2.4830785,1.059822,0.4778355,0.9676096,3.4098399,0.30587673,-1.2755371,1.0118815,0.17066805,3.1248662,1.7733833,0.036762808,4.8515506,1.1731366,5.557672,-1.7392585,0.58783513,1.3403717,0.0067166435,-0.9075539,0.21547076,2.008822,-1.892244,-0.2573617,6.2911496,4.799461,1.3592678,-1.5061426,-2.6959805,-1.0560511,2.0376942,4.1492124,-1.3628676,0.38982943,-2.4877813,0.1719935,2.403715,2.6728206,1.7781953,1.5404941,0.8347507,2.365692,-2.4707992,-3.0151002,-2.2148347,1.4685428,0.6576136,-3.2136152,-4.0022078,4.4128013,1.7158577,1.3767093,-0.9791579,1.0161479,-0.49350628,-3.617699,-2.8769777,0.4541433,-3.1592603,-2.1739643,0.2052273,-0.9173189,0.8212575,-1.1602876,3.4341898,3.177325,-1.0966209,4.6932516,1.1777923,0.84831053,0.5332221,-3.4481194,-2.2507849,-0.63269746,3.1428595,-3.4737997,0.031488966,0.123192,-2.271687,2.111602,-0.2124305,-2.631724,2.0099282,-0.10133234,0.30377153,7.4347525,0.9275332,1.9411159,-4.172812,0.09223737,0.51144713,-4.3579054,1.3939617,1.1869096,-3.9235396,-0.9655121,-1.1435041,-1.3964523,0.021617206,-1.72233,1.2051458,1.1787555,-0.097365476,0.15522315,1.5518829,2.5664587,-0.9007821,1.576856,-0.5725443,-0.25923005,3.1281624,-2.8385675,0.2213246,0.76168835,-6.3180547,0.79927546,3.934466,1.7680036,1.7878886,-3.5247777
-4.7088323,-3.8134549,-3.206549,-3.720647,0.59181213,-1.0280098,-2.279467,-3.8435874,-1.5653738,-3.4874473,6.4110126,-1.7774479,6.4232087,-1.0181049,-4.5349226,5.27938,-1.8669794,4.556565,2.203141,0.69268644,0.60121137,-0.13875815,3.8088202,-2.4978008,-6.1845775,-5.588506,4.099747,-3.9818993,2.124662,7.5434213,-2.7252219,0.0751375,-1.8641284,3.4747515,-0.8455821,0.7584278,0.9568575,3.2710648,0.528545,2.1366172,-5.3086023,7.531539,4.7862325,-3.2171414,-0.26549858,-2.6296349,-5.088675,-4.8706665,2.6234632,1.0074359,4.6050344,-6.2726054,-2.3760474,-1.3910712,-2.9030108,-4.3870516,-1.3452979,0.22737467,1.9490294,1.1025475,1.4742138,-0.28536484,1.002262,0.08052054,-3.5934632,3.9439251,-1.7224989,1.2576663,-3.9163876,-1.6185174,-1.3794253,-3.1177287,-3.7527916,1.3863527,-5.1698704,-1.079356,-0.55936134,-1.688149,-1.4352692,-3.4756756,3.035142,-3.1608121,2.9969215,-2.6642556,-1.3729713,-2.9349072,3.1655197,1.000607,-2.54967,6.7791095,6.790974,-1.4490495,-1.6601843,5.3199835,1.0291356,-4.9031215,-1.481874,-0.06623605,2.8736312,-2.6313522,-1.0210845,1.2208897,0.9472921,-1.8512015,0.7028574,-1.4380574,3.7240713,1.0887101,-1.460343,-2.17721,2.6029868,2.855929,6.9883914,-0.5457945,1.227616,3.5681524,-2.102685,4.9606137,2.2065413,0.20751995,-4.804447,-3.070995,2.5284202,0.15686934,-0.15678796,1.08528,0.5468425,-0.6018904
-0.579379,-5.104272,1.7744408,-0.28085756,-1.0769124,3.7717361,0.21063632,-5.091817,-2.0368717,-5.0114636,2.8122053,-1.3192717,2.433014,-1.4271897,-1.402651,2.4914672,-0.67110646,0.30292684,2.372956,-0.088104084,-0.6586684,1.9760369,7.562775,-7.3660216,-2.2888184,-5.0071654,1.876596,1.8508866,-0.59552693,6.989339,1.7423731,-4.247758,2.8080556,-5.2462587,-5.5737815,-1.5418673,2.1309752,4.385919,0.10564733,-0.5266395,0.6522767,9.790064,4.4314065,1.2183834,0.92969275,2.1275716,-1.5604289,-0.64905965,1.0655156,7.7483373,-2.4294546,-3.1113515,-1.8074384,-3.8358943,2.935219,-4.5926857,-0.6389719,-1.0094305,-6.2715287,-1.9347526,0.13481352,0.3610783,0.37927505,1.6041493,2.7153282,5.1408734,6.839797,-3.1342928,-2.7523818,-0.442967,-2.7281716,-4.173169,-2.919235,5.681064,-2.0098352,-2.7376132,-0.19829023,1.0833904,0.70424104,-3.1078076,5.0285935,-0.5969179,1.3640639,-5.7211194,2.8273814,-4.399997,1.7255578,-3.3511949,-1.636676,5.255918,3.205164,-1.8195732,-1.8583874,1.0940969,-7.4971514,-4.626202,6.2917056,-3.8725832,-2.3433616,-5.843479,5.0515156,2.1323757,-2.194369,1.5310006,-0.5618354,-4.3775315,2.8744075,0.673013,-3.0289788,2.501561,1.2545015,4.1288524,2.1205142,-1.9117601,2.0854132,-0.25004295,-9.04924,-0.4368695,1.6920828,1.8790607,6.3941693,5.4833555,-4.2716355,4.015953,5.912124,2.4664214,1.2546384,-2.281543
-1.5539023,-5.0317307,0.4982823,-1.2753273,-0.27471668,3.3962195,-0.2714367,-5.73536,-1.7281691,-4.996234,3.4733064,-2.710016,3.2231371,-1.5483944,-2.2776947,2.996648,-1.4768393,1.0897796,1.8142866,0.30722755,-0.38832474,1.8811666,6.536911,-6.58245,-3.0709555,-5.1206636,2.7093678,0.91277725,-0.32954895,8.363332,1.6183554,-3.2113194,1.6035719,-4.0597706,-5.059272,-1.4931613,2.6141987,3.4717183,-0.14503773,-0.64316595,-0.20279083,10.708598,4.546037,-0.38654208,0.37040722,0.37454012,-2.855675,-1.9954604,0.94897836,7.0528183,-1.1130234,-3.483652,-2.729597,-3.542584,1.454282,-4.6549597,0.028913882,-1.5334294,-5.400652,-1.809239,-0.5645882,-0.31833848,0.2427605,1.527945,2.1251237,5.00733,5.8011594,-2.2005966,-3.4308336,-1.1593258,-2.7367976,-4.5898733,-2.9231076,5.471164,-2.5505748,-3.769022,-0.6601863,-0.040088184,0.8819403,-3.7437937,5.0228868,0.027662944,1.8997928,-5.3319893,2.705573,-4.2387056,2.3894556,-3.6807048,-0.91403645,6.445741,3.347354,-1.1446655,-2.6508145,1.9990227,-7.2360806,-4.986118,5.6663246,-3.6587965,-2.1199899,-4.82236,4.7700415,1.8787199,-2.1319182,1.2341503,0.31129855,-3.6289954,3.4939885,0.20851338,-3.0786364,1.2131882,2.3851001,4.518167,3.0909076,-2.9024374,2.4607384,0.8845979,-8.56203,0.99677235,1.5014735,1.4484357,4.64917,3.982582,-2.4519248,3.3337033,5.3105097,2.4797797,1.0003371,-2.2444618
0.29089263,-5.530059,3.4825382,0.7060767,-2.089599,3.8676267,0.60553324,-3.2980947,-2.345077,-4.67046,1.9016455,0.34053338,1.1092436,-1.0378718,-0.40807095,1.5220789,-0.16888134,-0.91507787,2.7014267,-1.1953039,-0.6237431,1.726606,9.78754,-8.5743685,-0.57493824,-4.145075,0.9557494,1.9491869,-0.93082607,4.332268,0.86755633,-5.7911363,4.047448,-6.3515735,-6.2873583,-1.1051167,1.0312893,5.0012503,0.27526867,-0.148294,2.139333,6.9699097,3.992575,3.3040965,1.4303458,4.687458,0.976607,1.3693224,1.7869728,7.618476,-3.8370206,-3.1142223,-0.8006992,-3.981269,4.6750083,-4.4190125,-1.4125897,-0.23716609,-6.7625084,-1.6164169,1.276062,1.2638638,0.8766702,1.1372757,2.753269,5.0544405,8.748232,-4.1225314,-1.5148844,1.0831009,-2.150524,-2.9613984,-2.5086985,6.470467,-2.0273244,-1.5063535,0.95953846,2.41412,0.4325905,-1.2979817,5.182477,-1.78235,0.7486524,-5.397022,2.8771682,-4.1601543,1.0802736,-1.9722588,-2.5323822,3.00673,2.5259888,-2.8018851,-1.6453911,-0.7039092,-6.1800556,-3.8705845,7.144451,-4.557605,-3.0151286,-7.1386657,4.360492,2.6770523,-1.7315351,3.1712303,-2.2167685,-5.898998,0.85446817,0.6680488,-2.2436795,4.1101713,-1.5186082,2.9646783,0.019035054,0.0013150359,0.90690583,-0.90697026,-7.6644683,-2.1614075,2.1781003,2.1951637,7.692554,6.637244,-7.2348876,4.566076,4.671356,2.259606,2.6998785,-1.5472044
-3.12922,-1.4500774,-2.009073,-0.5673175,-0.011042553,-2.1891768,-0.432086,-2.1932821,0.23450454,-1.3700422,3.359405,-0.5266629,4.541043,-0.18667871,-2.233596,2.2646875,-1.1787513,3.37626,2.8024697,0.9150461,2.3689601,0.21514149,4.2039995,-2.3984294,-3.3011246,-2.7615347,1.6545024,-2.4810026,0.9758428,3.7774189,-2.1522052,1.2499541,0.38607413,3.03575,0.32274383,0.27450055,-1.2151732,1.3801101,1.3122524,2.8981676,-4.061327,1.9189577,1.0694872,-1.113312,0.16462114,-0.096821226,-2.0613823,-1.6020364,1.0603684,0.10726028,1.6608323,-4.7829523,-1.7578982,-0.67735,-1.0067241,-2.4929085,-2.4011936,2.002479,1.2569436,1.7843465,1.1502272,0.506463,0.21421088,-2.1954644,-3.0759666,1.3746737,-1.9518559,-0.4740825,-2.0523472,-0.8334219,-0.46226102,-1.4410759,-0.47178084,1.545937,-3.028463,2.0213804,-0.20285964,-0.6278922,-0.81874603,-2.3869026,0.38375944,-3.0591004,2.4318917,-1.2493784,-1.0150616,-1.9803989,0.8315654,1.2456408,-1.294437,2.051956,4.82058,-1.2328286,-0.18608752,5.5255404,1.3768237,-1.6802905,-2.9820118,0.39508584,1.4046593,-3.0967345,0.015182947,0.5264797,-0.6522143,-0.91591156,-0.08086961,-1.3077053,2.2557821,-0.09492331,0.010631865,-1.1331778,0.16782293,0.9155376,3.5363367,1.002006,0.7036782,1.490014,-0.70454484,2.905062,1.737175,-0.46978164,-2.1649818,-1.1068509,0.01947161,-0.82675374,0.2411468,0.98281765,0.5361865,-1.3428093
-4.5494194,-4.063089,-2.1625452,-3.687849,0.7963735,1.1072687,-2.1216972,-5.247306,-1.0593808,-4.2686872,5.8018055,-3.9376278,5.1904097,-2.3649452,-4.238558,5.811628,-2.2725706,3.0863013,1.0686319,-0.1354238,-0.15777011,0.60205424,2.322048,-3.1398926,-5.843473,-5.0149856,4.80835,-2.2824318,1.4799652,9.47046,-0.8982186,-1.0974019,-1.0495917,1.1176184,-1.8998494,-0.43127555,2.928225,2.2899666,-0.24409322,0.043996707,-3.4318407,10.2356615,4.7641063,-4.9157023,-0.43390507,-3.4709065,-4.852241,-5.461565,1.5698423,3.2303033,3.6221018,-4.3043656,-2.8044503,-1.4655035,-2.5709155,-4.1341033,0.4532388,-1.1823422,-0.032701187,-0.36994085,-0.029083535,-1.1169518,0.3060827,1.2797276,-1.3781389,4.3009434,0.3848919,1.5087321,-4.4879546,-2.0365913,-1.6158558,-3.450372,-3.8272078,3.115363,-4.840707,-3.157752,-0.5800339,-2.28995,-0.73251307,-3.2050219,4.524534,-0.90275335,2.7298398,-4.3956256,1.2156057,-2.435838,2.9717357,-0.708107,-1.725882,7.274127,5.102213,-1.0305687,-2.6784952,3.771879,-1.6005148,-5.5602865,0.9421134,-1.0321342,1.5734658,-1.8800926,0.71112204,0.93044233,0.5765018,-0.2399861,1.3906676,-0.778569,3.7603667,0.22039936,-2.7193072,-1.8882616,4.4963756,4.7397685,6.0462418,-1.7585464,1.1157081,3.6453633,-4.2579813,4.2337565,2.408338,0.24204843,-2.691468,-1.0311401,2.154291,1.4095451,1.0647095,2.3689601,-0.37453687,-0.85561776
-5.1361065,-4.2721963,-2.7083347,-4.246264,0.81693137,0.42016906,-2.4613738,-5.192386,-1.3189147,-4.3052177,6.585418,-3.4859774,6.194266,-2.2268894,-4.6868773,6.343597,-2.2648752,3.9034564,1.6164109,0.10579173,0.095673196,0.4153582,2.7685573,-3.0020456,-6.5163093,-5.649086,5.0682974,-3.0908747,1.9208368,9.711688,-1.9282523,-1.0778106,-1.4418378,2.3247952,-1.5790446,0.12254851,2.6579924,2.7888756,0.023089606,0.5744199,-4.45641,10.190557,5.309521,-5.000082,-0.46685106,-3.4686832,-5.517575,-5.8898706,2.1272235,2.7544765,4.3479075,-5.3461924,-2.7765975,-1.3405447,-3.1915312,-4.774143,-0.0587187,-0.75894105,0.8713207,0.31374088,0.57375866,-0.92130566,0.44673926,1.1284801,-2.1627004,4.6714354,-0.58560884,1.8822525,-4.6264944,-2.165115,-1.636294,-3.62027,-4.290318,2.6845138,-5.4379826,-2.5396488,-0.6478472,-2.649709,-1.0859096,-3.3923876,4.409337,-1.8748735,3.0333223,-4.194502,0.5676773,-2.7713423,3.2820687,0.015735505,-2.4544613,7.661368,6.355266,-1.1500912,-2.437257,4.54732,-0.4316271,-5.851327,0.12422658,-0.48007712,2.3804736,-2.1027122,0.03763825,1.1794325,0.91281605,-0.9507789,1.128431,-0.68856865,4.0593843,0.8137653,-2.665898,-2.3961573,4.4333315,4.5130253,7.0510507,-1.3596361,0.9792167,4.261483,-3.7187681,4.9381,2.6283853,0.06468044,-4.122477,-1.9817555,2.7228916,1.2837344,0.5225006,2.224683,-0.15179569,-0.7297101
-4.601378,-5.0464325,-1.8634886,-3.7653086,0.77566314,2.1880064,-1.9525745,-6.67052,-1.1543012,-5.2050014,5.680695,-4.82413,5.284527,-2.7548163,-4.3655376,6.0311494,-2.8320305,2.5422273,0.9613994,-0.32716274,-0.46769008,0.9213793,3.2582116,-4.69722,-6.053722,-5.544264,5.2255073,-1.7157774,1.0291754,10.886073,0.24404131,-1.5051563,-0.6183308,-0.5430678,-2.983711,-1.1440074,3.723071,2.2311301,-0.3945335,-0.19450656,-3.046182,12.57653,5.141747,-4.7366834,-0.11798668,-3.531211,-4.9451623,-5.654924,1.3726846,4.806205,3.190375,-4.291751,-3.5106072,-2.3994927,-1.5919287,-4.662425,0.89132416,-1.9633498,-1.8824427,-1.2020737,-0.9417837,-1.4492941,-0.06877274,1.6047581,-0.24119943,4.9468613,2.3495004,0.6601198,-5.159549,-2.5826066,-2.2431734,-4.305472,-3.991071,4.661476,-4.8319883,-4.755969,-0.8993199,-2.1907716,-0.16187629,-3.8658047,5.57203,0.122651964,2.7341316,-5.6293817,2.1082518,-2.6345482,3.6909966,-1.8682004,-0.9938943,8.376078,4.829133,-1.0081478,-3.7752929,4.09777,-3.8904119,-6.3275466,2.671078,-2.3257272,0.05648794,-2.3618171,2.3480468,1.1815416,0.01885832,0.5557287,1.7405455,-1.2907696,4.169346,-0.32904872,-3.301032,-1.3992581,5.238748,5.8676505,6.1011095,-2.7307825,2.014014,3.6945214,-6.1041055,4.277335,2.4583552,0.7190309,-0.8471862,0.45893946,1.3024309,2.185348,2.5495682,3.0117166,-0.516836,-1.3943506
-3.9094486,-5.0919666,-1.4461753,-3.354444,0.6032162,2.5468366,-1.5681014,-6.555323,-1.2163223,-5.311817,5.141274,-4.707817,4.8853755,-2.4865758,-4.0648265,5.4869456,-2.7251298,2.107462,1.1152335,0.0057656495,-0.4066927,1.1576542,4.073833,-5.1281195,-5.3679075,-5.654301,4.8174086,-1.2415001,0.750404,10.50032,0.65653545,-1.8482437,-0.28132355,-1.2948643,-3.454055,-1.2057142,3.5259082,2.288235,-0.29002294,-0.27904382,-2.6524582,12.336047,4.8449054,-4.055405,-0.15000492,-2.8139124,-4.6135254,-5.06861,1.242743,5.258624,2.2558963,-4.1613107,-3.4375854,-2.6681385,-0.99207515,-4.7064342,0.70731425,-1.9459101,-2.6187396,-1.3669835,-0.92285436,-1.3104556,-0.112411685,1.6555412,0.2989443,5.0715346,3.27627,0.011535272,-4.943524,-2.471029,-2.5389848,-4.623239,-3.6645796,5.0575085,-4.3753767,-4.7316036,-0.9738827,-1.8519611,0.2908794,-3.934009,5.595726,0.1865825,2.601963,-5.631877,2.3182151,-3.032648,3.651955,-2.4521809,-0.7726908,8.16772,4.4955316,-0.9434288,-3.8340018,3.7579753,-4.9206796,-6.142402,3.5436416,-2.7784941,-0.66117966,-2.7028506,3.0473285,1.3176223,-0.55755424,0.81484383,1.4122081,-1.7684798,3.9378462,-0.38690212,-3.3043065,-0.86846083,4.6571794,5.7969437,5.445531,-2.9589422,2.289688,3.3064413,-6.6698613,3.601174,2.2075756,0.9050247,0.4196152,1.2949529,0.6003117,2.5001178,3.3245585,2.8319638,-0.23925637,-1.6252974
-3.2678366,-5.103661,-1.0881774,-2.8965378,0.36067438,2.815008,-1.0941057,-6.3867393,-1.2739785,-5.255052,4.5836062,-4.4414287,4.5048404,-2.218925,-3.6466434,4.802369,-2.5626671,1.8546565,1.2784835,0.24138756,-0.35535434,1.4425224,4.7706094,-5.428643,-4.614914,-5.68205,4.2789,-0.7469081,0.4229264,9.919584,1.0074157,-2.1706686,0.13015006,-2.0512264,-3.9043732,-1.2072785,3.2819293,2.4085073,-0.19577412,-0.42058098,-2.2355378,11.8785515,4.616984,-3.259712,-0.15401861,-2.02606,-4.2739143,-4.328282,1.1811132,5.6929574,1.2642068,-4.0651813,-3.4058344,-2.8750324,-0.38210347,-4.7131977,0.50325835,-1.9195368,-3.3185885,-1.5236245,-0.8841863,-1.133473,-0.15086158,1.6178808,0.7690028,5.0665936,3.9946747,-0.5943748,-4.62165,-2.3523693,-2.691247,-4.741576,-3.3151114,5.287116,-3.8711114,-4.5531125,-0.931543,-1.4765601,0.6728599,-3.9316926,5.4247875,0.1806227,2.4955149,-5.5679274,2.464803,-3.4869983,3.448493,-2.9684925,-0.5604709,7.838825,4.110012,-0.8858023,-3.6329837,3.3381553,-5.8061476,-5.797269,4.198719,-3.1086025,-1.3092792,-3.0316617,3.6935284,1.5491112,-1.1070585,0.9538692,1.1603411,-2.2775822,3.7783923,-0.33255255,-3.170121,-0.3943507,4.1026697,5.458659,4.7495284,-3.1715233,2.5266097,2.7268913,-7.149815,2.9190264,1.9430959,1.0447185,1.5938697,1.974531,-0.11114428,2.6893163,3.959478,2.7031777,0.1292529,-1.7629424
